icao24,r,t
4CAA5A,EI-EVV,B738
AE035C,58-0062,K35R
4046B4,G-IVJM,A109
4065A6,G-GRZD,GLF5
4D022C,LX-USM,FA7X
A257DD,N250DV,GLF5
AE4D6A,10-0217,C17
400B0D,G-BTZO,TRIN
800600,VT-VDM,HA4T
406756,G-EZWE,A320
A2E9BB,N287TX,GLF4
800661,VT-SNP,GALX
406839,G-JEBS,C172
AA2E14,N755RA,GL5T
484494,P4-BBJ,B737
A19324,N200MP,GALX
406811,G-FBJH,E170
AA804C,N776LA,B77L
3E37C4,D-IMHW,C340
3CDD5F,D-CLDF,C650
0D8167,YV2726,F900
A417D6,N363EA,BE20
01008B,SU-BKT,C130
43C619,ZZ501,B350
040048,ET-AOR,B788
3C644A,D-AIBJ,A319
43C618,ZZ500,B350
AC5F6A,N897AW,GLF5
A1D405,N217FE,B722
43C45F,XX332,HAWK
4D00CB,LX-LGH,DH8D
43E95B,M-AYRU,CL60
A8F00E,N675UA,B763
401F84,G-BJAJ,AA5
40680E,G-CHJK,C206
A713AD,N555TF,GLF4
402A8E,G-BOFW,C150
405108,G-RRVX,RV10
E48BF5,PP-WAV,H25B
A8F3C5,N676UA,B763
C0706F,C-GQPA,CL60
3B7788,R96,C160
A00D68,N102PA,E50P
43C5F3,QQ101,RJ1H
8005F2,VT-ANI,B788
45B0E9,OY-LGI,GLEX
44063C,OE-IRN,GLEX
A1F3A4,N225AR,CL30
8960F9,A6-EDX,A388
4BA892,TC-JDR,A332
45CAA4,OY-RUD,AT72
403D46,G-TOSH,R22
3442CD,EC-LTO,B733
A2D977,N283DM,CL60
402939,G-BNRG,P28A
7101E4,HZ-WBT5,H25B
43E891,M-RUAT,GLEX
89621B,A6-EGZ,B77W
406819,G-OTEN,C750
3965E4,F-GZPE,P180
A81761,N620MS,F2TH
AE128A,69-5822,C130
A829A2,N625JK,GLF5
ABB573,N8534T,C182
A397D3,N330WR,GLF3
A2D1F5,N281CS,B733
0A401A,7T-WHE,C130
402B24,G-DONS,P28T
44066A,OE-GMG,C650
AE0551,70-0460,C5
AE1287,69-5820,C130
AC4554,N890A,GLF5
402356,G-ZAZA,PA11
780311,B-8028,FA7X
404973,G-KAOS,RV7
4787B2,LN-NGE,B738
8006E5,VT-KJB,GL5T
AD540A,N958TB,GLF4
491263,CS-DSC,FA7X
401633,G-ATEF,C150
406758,G-EZWG,A320
506C92,S5-ABV,B734
43E958,M-USBA,GLF5
405B51,G-DDUT,GLID
AE0949,68-10329,U2
A0F1B7,N160AJ,LJ60
AE0483,60-0339,K35R
AE03D3,164442,C130
4B0EF1,HB-FRD,PC12
400A3C,G-EMAX,PA31
406832,G-VWAG,A333
0C603D,9Y-LHR,B763
4D0202,LX-DGQ,C25A
39B1F1,F-HMPR,C25A
A6B818,N532CL,A320
400CE2,G-SELC,DA42
A257BA,N250CK,SR22
A66E2E,N513SK,C56X
3CD6E3,D-CIRJ,D328
510069,EW-338TI,AN12
383D02,F-BPIC,PA30
342519,EC-JYV,CRJ9
A66036,N51MN,F2TH
E80204,CC-BFD,A320
43C537,ZE375,LYNX
44BE67,OO-OSG,GALX
43E959,M-CKDM,G150
0200FA,CN-SSH,E135
4D2075,9H-LDV,CL60
43E961,M-SITM,H25B
AE0967,80-1093,U2
8005E1,VT-IBP,CRJ2
4CAA7E,EI-EYH,A320
800590,VT-APL,CL60
A18E6B,N2MG,CL60
008AD6,ZS-ECB,E135
503D15,LY-LTD,H25B
C05C13,C-GIWO,LJ35
780A50,B-HHI,GLF5
750018,9M-MMI,B734
4B0F64,HB-FVO,PC12
040049,ET-AOS,B788
3E1D10,D-ICEY,C525
4BB741,TC-MZA,GLF4
AB3A52,N822WW,F900
A373FB,N321W,SR20
4B1A35,HB-JYB,A319
AE022A,86-0032,DC10
C077F8,C-GTLF,CRJ1
AC8DB1,N908JE,B721
400F42,G-PDGK,AS65
38469A,F-WWZR,FA7X
A6AF20,N53LT,GLF5
0D07AA,XA-KUO,GLF5
8960FB,A6-EDZ,A388
40169C,G-ATVK,P28A
ADACBA,N980SF,F900
A7082A,N552PM,GLF5
406625,G-YRON,MM16
E48693,PR-JPP,GALX
40495C,G-ONIG,RBEL
A80703,N616WG,H25B
A513A4,N426TT,GLF4
E48A5B,PT-TLS,E190
A62DE2,N498AT,AT75
484F74,PH-LND,F100
440651,OE-IRL,F900
33FFB4,MM62223,C27J
395588,F-GVMI,GLEX
AC8D17,N908CA,F900
4046BC,G-OTFL,EC20
3F7B3C,14+04,GL5T
43C372,ZJ946,EUFI
404C8D,G-EZUB,CH60
C027D5,C-FPCE,C510
403FAA,G-OACA,PA44
49D2A8,OK-ESC,BE40
ADA024,N9771C,CL60
AE05FE,79-0477,C130
4BD16E,TC-TKN,C680
3CBC49,D-BOBI,F2TH
404987,G-IIXI,E300
42429A,VP-BDD,A333
43E968,M-IGWT,GL5T
AB28F1,N818VB,GLF3
4CAA9B,EI-EJP,A332
402057,G-MANN,GAZL
406814,G-VGEM,A333
AA0D54,N747JA,BE9L
4B1886,HB-JHM,A333
ABE868,N86664,
C01E50,C-FLML,BE58
478117,5699,C30J
40133D,G-ECAC,R200
AD17A0,N9425C,C180
3986EA,F-HBXK,E170
040062,ET-APU,B77L
400FBC,G-VVTV,DA42
A8E8A0,N673UA,B763
440644,OE-IRA,GLEX
AA87BA,N778LA,B77L
4787AC,LN-IDC,C560
43C72B,ZJ250,AS50
40621A,G-CGGW,MT
4062E9,G-CGKY,C182
A8B8DB,N661KK,P28A
43C55F,ZK028,HAWK
AC7ACB,N903EX,F900
3D7BA2,D-FTBM,TBM7
AA8BBE,N779PC,PC12
896303,A6-ENA,B77W
440641,OE-GUN,C56X
ABA83D,N850KD,TBM8
4D2077,9H-OKI,GLEX
342607,EC-GFK,SW4
A728AC,N560U,GL5T
7102D5,1604,C130
406757,G-EZWF,A320
40320A,G-VFAS,P28R
405B41,G-CFMM,C172
A385A9,N326LW,F2TH
400B53,G-CCTB,RJ1H
3C4B26,D-ABYF,B748
AC3857,N887FD,B77L
424299,VP-BHW,A320
4BAB28,TC-JYH,B739
8960FA,A6-EDY,A388
AAA6D3,N786AC,C25A
40686B,G-DEIA,C56X
A57253,N450CE,GLF4
A7BF85,N599H,GLF5
4787B1,LN-NGF,B738
394B12,F-GSYS,PA34
44CE61,OO-SSA,A319
C06DE2,C-GPPX,GLEX
40683E,G-VUFO,A333
4BAB29,TC-JYI,B739
A0E262,N156VP,C750
750290,9M-MNC,A388
394D2C,F-GTJM,TBM7
4067ED,G-GLBX,GLEX
400AE9,G-BNVE,P28A
A379E0,N323EG,F2TH
A4933A,N394SE,PA46
40229C,G-PAXX,PA20
AC3BDB,N888DC,GLF4
4D00D0,LX-LGM,DH8D
010163,SU-GEE,B738
4891A9,SP-ENK,B734
495207,CS-TPG,E145
E48BA9,PT-MUG,B77W
4B902B,TC-DAK,C56X
740737,JY-AYW,A320
4CAA4A,EI-EXI,B712
3C49AA,D-ABMJ,B738
AE087A,00-3002,F15
7CF869,A41-206,C17
43C45C,XX329,HAWK
A1411B,N180EL,
040046,ET-AOP,B788
4D0107,LX-VCG,B748
43C2D2,XZ731,LYNX
AE0696,63-8884,K35R
AB8CAC,N843TE,EA50
00B210,ZS-SYH,GLEX
896181,A6-EEB,A388
3C4B03,D-ABXC,A332
3C5432,D-AEAR,A306
E8C046,OB-2017P,GLF4
4067EE,G-TAWK,B738
4034FF,G-BTVW,C152
AE07DF,94-0065,C17
750291,9M-MND,A388
AC669D,N89888,GLF4
A64B00,N504YP,FA50
A9036A,N680CA,BE20
491298,CS-DTX,C56X
45CDAC,OY-SML,C525
A7E542,N608D,GLF4
AC1466,N878DN,GALX
4067A3,G-DHLJ,B763
AB4EC8,N828CC,GL5T
AE0499,58-0010,K35R
A7EC6E,N61AJ,C421
A40023,N357PR,GLF3
E48172,PP-BIR,CL30
300256,I-LOAN,PC12
402B65,G-OLNT,AS65
AE07C6,64-14831,K35R
39C958,F-HSKY,A333
45D8A7,OY-VEG,CRJ2
4AC8B8,SE-REX,B737
43E95A,M-VGIN,FA50
AB2F9B,N82MF,F900
399224,F-HERE,C510
3E1760,D-IAAY,E50P
A54B6E,N440JJ,LJ45
461FBB,OH-MAL,GL5T
AC3FC5,N889FD,B77L
4B1A37,HB-JYD,A320
A8DD7B,N670UA,B763
3D5E90,D-FIBG,TBM8
43E957,M-STCO,F2TH
4047DE,G-RROB,R44
43E951,M-SWAN,GALX
44065B,OE-LBW,A320
A97D1D,N710LX,GLF4
A83C76,N63M,GLF5
47942D,LN-RTG,F2TH
A5D3A6,N47494,P28R
401BAD,G-BCVB,PA17
43E93F,M-ARAE,GLF4
396577,F-GZLX,F2TH
4BB18C,TC-LLL,C56X
A1C2B2,N212U,GALX
4C498A,YU-SMK,C56X
A4B479,N402EF,CL30
A8B258,N66EV,R66
ACD5A1,N926NA,WB57
45CD6C,OY-SKL,F2TH
40641D,G-VLUV,A333
39AA20,F-HKRA,C525
A8F77C,N677UA,B763
A3522B,N313CC,F2TH
398C01,F-HDAB,DA42
4066FD,G-MPLB,C182
406797,G-PWAD,EC20
5082A0,UR-CKL,AN12
401DBB,G-BGMR,GY20
459D63,OY-GKC,C56X
80072C,VT-JFE,B738
A0C4AC,N149FR,SR20
A0D5E1,N153FR,SR20
A7DB65,N605SC,B734
899063,B-95959,GLEX
A9B2B7,N724DD,GLF4
43C4D8,ZA670,H47
3981EB,F-HAPL,AT75
406863,G-FBJI,E170
516001,4O-MNE,LJ45
A7CEBD,N602AR,C212
A80ABF,N617WM,GLF4
A6EF40,N546LR,H25C
3C0FEA,D-AVAR,GLF5
A18DA2,N2DF,GLF4
4CAA6C,EI-STB,B734
48ADA4,SP-LNE,E190
4CAA60,EI-EXE,B738
AE07EC,96-0002,C17
896182,A6-EEC,A388
89616E,A6-EFH,B77L
4891A7,SP-ENH,B734
A1BB4E,N210UK,C210
3C49AB,D-ABMK,B738
4D00D4,LX-LGN,DH8D
43C34A,ZA298,S61
43C27C,ZJ231,H64
3C5425,D-AEAE,A306
896305,A6-ENC,B77W
424105,VP-BVU,B735
AE080C,99-0166,C17
4601F2,OH-ATE,AT75
71BE19,HL7619,A388
ABA7A2,N850CZ,TBM8
45A9A3,OY-JMC,C525
A1B85C,N21NG,C680
4D00F6,LX-LGU,B738
4CAA5F,EI-EXD,B738
AE04B8,58-0018,K35R
3B9BAC,85,E121
A25CD3,N251SP,H25B
A3A44A,N3337J,CL30
A2FE0E,N292MU,GLF4
4CAA5E,EI-EVZ,B738
3D547A,D-FEFY,PC12
4B0EC2,HB-FPI,PC12
400B90,G-OART,PA27
43C72F,ZJ245,AS50
A7E246,N607LM,EA50
89634F,A6-CPC,CL60
75029F,9M-CJG,GLEX
44065C,OE-LBX,A320
A35EBC,N316SS,F900
06A0B0,A7-BCL,B788
C3C361,ZA299,S61
ABA912,N850TS,TBM8
4CAA61,EI-EXF,B738
A75052,N570VP,C560
44CE62,OO-SSB,A319
489352,SP-FDT,AN26
A3A150,N333DS,CL60
8962EA,A6-SAJ,CL60
39996E,F-HGLO,
40685C,G-PPBA,E135
43E97A,M-ABFR,GLEX
4BB42E,TC-MAN,H25B
008D86,ZS-FCN,F900
A97C45,N710CF,GLF3
4891B4,SP-ENW,B738
00A182,ZS-MRH,C750
8880B1,VN-A557,A320
4C0653,YU-BST,C525
896304,A6-ENB,B77W
AB6750,N834BA,B737
4CAA9E,EI-OZJ,A306
39DD65,F-HXLF,A333
43C632,ZH541,S61
800712,VT-SUP,DH8D
A70473,N551PM,GLF5
C058CB,C-GHQG,BE30
A837F0,N629CT,PA46
4067A4,G-DHLK,B763
4242B4,VP-BLD,B738
A3327C,N305GA,G150
06A0A6,A7-BCB,B788
4CAABA,EI-ISE,B772
8006E9,VT-SUJ,DH8D
8006EA,VT-SUK,DH8D
06A0A5,A7-BCA,B788
4CAA5D,EI-EVY,B738
43C6FB,ZZ338,A332
4CAA5C,EI-EVX,B738
AA67CC,N77ML,C441
4CAA5B,EI-EVW,B738
8005F4,VT-ANK,B788
888036,VN-A192,B734
401B41,G-BCCE,PA27
43E964,M-ABFO,BE40
0D00CB,XA-CMM,F2TH
47C071,LN-RGB,B738
8A036C,PK-AXZ,A320
AD251E,N946TC,FA50
A0F31D,N160QS,GLEX
48AE01,SP-LRB,B788
AB28BB,N818SY,B738
E48BAA,PT-MUH,B77W
896329,A6-ETL,B77W
A9D062,N731SR,F900
4787B0,LN-NGG,B738
AAEA02,N802HH,HA4T
4B184E,HB-JFI,F2TH
3442D4,EC-LSN,AT72
800743,VT-RSP,CL30
403AA6,G-OSZB,PTS2
406894,G-JTHU,A109
4B008C,HB-AFK,AT72
406862,G-RCAV,CL60
A8CFFD,N667UA,B763
398581,F-HBMB,C550
40571C,G-CEYU,AS65
896180,A6-EEA,A388
406787,G-CHGI,BE36
3E3463,D-ILAP,E50P
4D207E,9H-VJC,GLEX
4CAAB7,EI-ISO,B772
45AC2C,OY-KAL,A320
48AE00,SP-LRA,B788
E48B07,PR-LHW,GLF4
800732,VT-ANL,B788
4B1A36,HB-JYC,A319
ACC2FB,N921MG,GLF3
896306,A6-END,B77W
406871,G-ORKI,AS50
4065AB,G-PAFF,MT
AE0559,83-1285,C5
896184,A6-EEE,A388
4D207F,9H-VJD,GLEX
896183,A6-EED,A388
AAF4E7,N805EU,
440685,OE-INL,GL5T
4CAA8F,EI-STC,B734
3C6496,D-AIDV,A321
748043,OD-LEA,H25B
8005F3,VT-ANJ,B788
3E4641,D-IRUN,C510
AE053C,69-0022,C5
4CC3E6,TF-AMF,B744
C8200C,ZK-KCE,P750
406830,G-VYGG,A332
AE0562,85-0005,C5
A00623,N100QS,GL5T
440040,OE-LKA,D328
A6982F,N524EA,GLF6
502C7B,YL-BAJ,DH8D
06408C,5N-BJA,B737
440666,OE-LBJ,A320
39ADCD,F-HLON,BE20
4242AB,VP-BLA,B772
300140,I-ADLZ,AT45
AE04DD,71502,K35R
402586,G-TSGA,P28R
3C49AC,D-ABML,B738
A71D60,N558CL,B744
43C519,XZ653,LYNX
4B1A38,HB-JYE,A320
ADFEA0,94-7320,C130
0D05D5,XA-SKY,GLF5
4CAAB6,EI-ISA,B772
484337,P4-AST,CRJ2
AE4D68,10-0215,C17
40383A,G-JSAT,BN2T
43C36D,XV661,S61
8000CF,VT-SLK,BE9L
A70508,N551VL,GLF5
AE49C7,09-9211,C17
406835,G-KNYA,P32R
896170,A6-EFJ,B77L
710222,HZ-ATR,B739
4067EF,G-TAWL,B738
A8E4E9,N672UA,B763
440675,OE-GDA,C560
ADFE71,92-1534,C130
AE08BF,76-0163,BE20
06A0AF,A7-BCK,B788
AE4AEA,09-0017,B752
A05770,N121AG,E400
896363,A6-RRJ,A319
A454B5,N3786H,
342148,EC-IZP,CRJ2
43E972,M-CDZT,BE20
39A248,F-HISI,FA50
3442C9,EC-LTF,GLEX
A708E6,N552X,GLF5
A16ACD,N1902D,B190
300557,I-ADJQ,E190
451CC1,LZ-PLO,E190
3C5428,D-AEAH,A306
ACE44B,N93LA,CL30
A46E81,N385GP,GLF4
502C7C,YL-BAQ,DH8D
4068C0,G-LCDH,CL60
AE1255,166511,C30J
43C15F,ZA404,TOR
AC5824,N895CL,CRJ2
A8C4D8,N664UA,B763
49D241,OK-RHM,BE40
7805DE,B-8100,GLF5
0D031D,XA-TAB,FA50
43E95C,M-SNSS,FA50
780932,B-5908,A332
AA4A1A,N762MS,GLF6
A0A7D6,N141QS,GLEX
43E989,M-ARIA,C680
A10915,N166MK,GL5T
ADFEEB,160047,DC93
A12491,N173CN,FA7X
4242B1,VP-BCC,GLF5
4242AF,VP-BFO,B735
45AC2D,OY-KAM,A320
A1100E,N168GT,
0D06E3,XA-PTR,CL30
502C89,YL-BBO,B733
896341,A6-ETM,B77W
4040AF,G-FORZ,PTS1
0D04C2,XC-LMF,GLF4
AAF670,N805WM,F900
A5767F,N451GX,GLEX
484F6B,PH-JND,C56X
4D02AF,LX-JFU,PC12
A3CD7A,N344PL,E55P
4005A9,G-BVRJ,RJ70
3B773C,064,E121
A87108,N643GT,B763
398266,F-HATG,C25C
AD5AF4,N96MV,PC12
43E98B,M-SAID,GL5T
44068B,OE-IPG,CL60
4241C5,VP-CJG,A319
47BEBB,LN-RGC,B738
A21F58,N236FS,GLF4
E48CEB,PT-TOE,E190
4B1995,HB-JRX,GL5T
7809B8,B-5920,A332
710238,HZ-A9,H25B
4D2070,9H-BOA,HA4T
43C4C4,ZA677,H47
A0DCC6,N155AD,GLF5
4BAA65,TC-JSE,A321
3991A3,F-HEND,C510
3CE51A,D-COBI,C56X
43E7EE,M-CLAB,CL30
43C71B,ZJ270,AS50
3C712C,D-ALIL,FA7X
4BAA64,TC-JSD,A321
406883,G-UYFI,EC20
503C93,LY-MCA,AT72
800662,VT-AOP,E190
3C674F,D-AIZO,A320
384C7A,F-WWNF,FA7X
4CAAB4,EI-IMX,A319
43C711,ZJ280,AS50
43C71C,ZJ269,AS50
406925,G-YEDC,C25B
AB8941,N842WF,PC12
484FD4,PH-PKX,C750
47A8E3,LN-NGH,B738
44068E,OE-FXM,C25A
342544,EC-KAI,AT43
4BA90F,TC-JHO,B738
4B38FA,HB-VPA,C25C
A51656,N427HG,GLF5
A97708,N709LS,GL5T
A8C88F,N665UA,B763
45CDCB,OY-SNK,F2TH
43C728,ZJ254,AS50
896308,A6-ENF,B77W
A6AC07,N529TA,GLF5
449D05,OO-GHE,F2TH
47956B,LN-NIE,B738
A71DBA,N558GA,GLF5
404644,G-CBGZ,GAZL
A2D371,N281TX,BE40
3C5EF6,D-AGWV,A319
401DC6,G-BGOG,P28A
403B12,G-RIFN,CP10
402140,G-BSDL,TOBA
406664,G-LENM,RJ85
A9212F,N688CP,F2TH
02A194,TS-IMU,A320
A7014B,N550VE,GLF5
403A7D,G-IPUP,PUP
404254,G-DCSE,R44
45AC2E,OY-KAN,A320
406663,G-CRSR,CRUZ
479587,LN-NIC,B738
406808,G-XDEA,DA42
ABC587,N858EU,BE58
43E98A,M-MNDG,GLF4
4794FD,LN-NIF,B738
710058,HZ-AK16,B77W
43C727,ZJ255,AS50
4B19A4,HB-JSM,FA7X
80071F,VT-JWS,A333
4BA910,TC-JHP,B738
4BB463,TC-MCC,A306
401AE3,G-BBKX,P28A
344304,EC-LUB,A333
A648CF,N504AC,GLF5
A32E63,N304CC,GLEX
4027A5,G-WACB,C152
403FF3,G-WARV,P28A
506C25,S5-ZFL,GLEX
440667,OE-LBK,A320
800720,VT-JWT,A333
43E96F,M-YBLS,PC12
344341,EC-LTM,B738
401EF3,G-BIHI,C172
394B25,F-GSZF,TRIN
42428C,VP-BGL,E135
A8CC46,N666UA,B763
70C07D,525,C30J
750292,9M-MNE,A388
43E974,M-ALAY,GLF5
4CAAA7,EI-IMV,A319
4B390F,HB-VPV,BE40
C03B34,C-FWKX,F900
43C1FB,ZJ135,EH10
3C5EF5,D-AGWU,A319
4406A1,OE-IBZ,B734
4D4025,3A-MGA,FA7X
AE0471,57-1451,K35R
A98169,N711SW,GLF6
A8D336,N668P,GLF5
392F03,F-GLYD,F900
4CAA9D,EI-STD,B734
A1449E,N181CJ,C510
43E956,M-MDMH,
7502CA,9M-AQU,A320
AAB2C0,N789JC,FA50
491D81,CS-GLA,GLEX
47A851,LN-NGI,B738
ABAEFC,N852CD,SR22
43C704,ZE707,B462
404A49,G-KETH,B06
3CBDE3,D-BOOC,C750
AE061C,84-0206,C130
3964E8,F-GZHI,B738
0C603C,9Y-LGW,B763
468A53,SX-BRS,F50
E4884B,PR-MMP,GALX
AAE0DA,N80PS,GLF5
43C6F4,ZZ331,A332
459EC9,OY-GVI,GL5T
505C98,OM-DEX,B734
80071E,VT-JWR,A333
AAB5C3,N79AY,GLEX
40574E,G-TESR,SIRA
401A6B,G-ADKC,ULAC
4B0F66,HB-FVQ,PC12
A9961B,N717AN,B77W
43C258,ZJ195,H64
401110,G-PDGF,AS50
43C13B,ZA371,TOR
44D182,OO-TLB,DA42
4047C4,G-CBSS,YK52
AAE0B8,N80NH,
43E97E,M-IMOR,C680
A999D2,N718AN,B77W
40693E,G-ISLG,
43E978,M-OIWA,CL30
A73ED4,N566SR,SR22
C06A5D,C-GOHG,CL60
A454F5,N3788B,GLF5
4067F0,G-TAWM,B738
4049A6,G-NPPL,C42
399164,F-HELE,TBM8
896309,A6-ENG,B77W
43E943,M-SSSR,GLEX
ABEA84,N867TC,
400E7A,G-CMBS,EXPL
AE0606,80-0332,C130
43C710,ZJ253,AS50
344305,EC-LUK,A333
48ADA5,SP-LNF,E190
489351,SP-FDS,AN26
896307,A6-ENE,B77W
C07B3C,C-GURJ,CL60
43C421,XX242,HAWK
4B18A1,HB-JIN,F900
AE0602,80-0323,C130
3C6751,D-AIZQ,A320
AE0210,82-0191,DC10
4068F0,G-JAGA,E55P
43E969,M-KBBG,GLF4
34430C,EC-LTG,B734
424267,VP-BOH,B735
49D062,OK-RDA,L410
3C6750,D-AIZP,A320
43E97C,M-USIC,GLF5
AE02EF,85-1366,C130
502C84,YL-RAI,AN26
43E94E,M-ABFL,A332
4068F6,G-GDFR,B738
3CD6E9,D-CIRP,D328
43E971,M-AQUA,GL5T
45AC2F,OY-KAO,A320
4D0103,LX-VCA,B748
89630A,A6-ENH,B77W
A4BB99,N404BC,F900
398446,F-HBCG,B190
E48C42,PP-NPP,F2TH
40689A,G-LEAZ,CL30
400F76,G-XELA,R44
44069B,OE-IBQ,A320
ADECD6,N997C,C680
393A4C,F-GOSM,AS50
AA0C6B,N7469D,PA18
E4844E,PT-TFT,E135
4B18CE,HB-JKG,GALX
AE4F12,10-0218,C17
A24F5E,N248SY,B734
4BAA66,TC-JSF,A321
AE0507,61-0323,K35R
3E36FF,D-IMAH,C25A
406619,G-ENVR,D228
C2AF9F,130341,C130
484FFF,PH-AKE,A333
A6CE62,N538CL,E145
503C33,LY-LTE,BE30
43C6D9,ZK326,EUFI
A88E07,N650PH,GLF6
8A037A,PK-CLR,B738
A124DF,N173FR,
AE29DD,08-3173,C30J
4B0F05,HB-FRX,PC12
600918,4K-AZ280,G280
894072,A9C-DHC,B752
43C568,ZK037,HAWK
ACBF42,N920ME,B712
40463D,G-OARO,P28R
401F8F,G-BJBW,P28A
4068B4,G-ZBAA,A320
71C226,HL8226,B772
71C274,HL8274,B77W
AE1BF3,07-46310,C30J
4067F1,G-TAWN,B738
4A81E6,86001,SBR1
405BDC,G-LHXL,R44
400CF4,G-JUPP,P32T
511095,ES-LCC,C510
3420D5,EC-IVP,AT43
E80269,CC-BFI,A320
4068F5,G-GDFP,B738
780A36,B-KQD,B77W
A99D89,N719AN,B77W
896263,A6-AAB,RJ1H
300564,I-ADJT,E190
A70E99,N554DG,GLF5
A31D93,N30GD,GLF4
AA8A90,N779BA,B744
AE4BDE,10-5701,C30J
4B0F76,HB-FWG,PC12
AE0603,80-0324,C130
39D021,F-HUBB,F900
A0961F,N137KM,P46T
395184,F-GUME,B190
AB7FE0,N840AG,PC12
06A13B,A7-BAY,B77W
43C4D0,ZA680,H47
A63682,N5NZ,BE36
A24439,N245SY,B734
42455A,VQ-BNZ,GLF6
A4F9E5,N42GJ,CL30
4CAAE3,EI-ZMA,F900
45AA95,OY-JTU,B737
43E985,M-DTBP,FA7X
4063FD,G-RBND,E135
47A7BC,LN-NGJ,B738
A278D2,N2589J,PA46
47BE91,LN-RGE,B738
406662,G-EVIL,E300
40686F,G-YDEA,DA42
4680D1,209,E135
ABA8AD,N850PR,TBM8
4AC945,SE-RJE,A320
A81F60,N622TM,TBM8
AE0427,61-0290,K35R
43E992,M-WFAM,CL60
506C27,S5-GMG,GLEX
3C4A23,D-ABQC,DH8D
3E24FC,D-IFEY,C25A
A02D7F,N110PG,C56X
4CAABE,EI-RDN,E170
4CAABF,EI-RDO,E170
AE023B,57-1440,K35R
3C5111,D-ADHQ,DH8D
A46A41,N384BB,GLF3
3E31B7,D-IKAH,BE20
896342,A6-ETN,B77W
780A37,B-KQE,B77W
A588EE,N456FL,BE40
484491,P4-GIS,FA7X
71001A,HZ-AI3,B748
A8A7CF,N657MA,TBM8
461D7F,OH-LEL,E170
398C52,F-HDCS,BE9L
43C2DC,ZD258,LYNX
4622F1,OH-NGB,MD11
440668,OE-LBL,A320
A7D66E,N604DH,CL60
39AD2F,F-HLJP,PRM1
4D208C,9H-VLZ,C560
468A56,SX-BRV,F50
A9A399,N720AN,B77W
3443D1,EC-LUN,A320
405C93,G-CFIY,C42
4BAA67,TC-JSG,A321
020105,CN-RGN,B737
40691D,G-KAHR,CL60
3C5429,D-AEAI,A306
3C6752,D-AIZR,A320
4B18F5,HB-JLT,A320
710254,HZ-A6,GLF5
4067CE,G-WPDD,EC35
406763,G-RVNP,P68
4067F2,G-TAWO,B738
750293,9M-MNF,A388
4028D8,G-BNKH,PA38
400FBD,G-OCCF,DA40
504E14,ER-ECC,E190
4D208A,9H-VJF,GLEX
A3F930,N355UP,B763
404FC8,G-NIEN,RV9
49524B,CS-TRK,A320
495249,CS-TRI,A333
020104,CN-RGM,B737
344417,EC-LUL,A320
020108,CN-NMG,A320
3C674E,D-AIZN,A320
A2C11F,N277GM,GLF4
440669,OE-LBM,A320
39BA41,F-HOSB,H25B
3CC24E,D-CAWS,C680
4B39C2,HB-VWS,C510
3B7732,083,E121
A7D824,N604WW,CL60
A5E094,N478U,CL60
A16925,N190L,BE36
4241C2,VP-CYT,GLEX
394923,F-GSJD,BE58
42429B,VP-BDE,A333
5110A6,ES-SAL,A320
ADA2FD,N978SR,SR22
4068F7,G-IASA,BE20
3C5A78,D-AFSX,FA7X
4406A6,OE-LPZ,GL5T
49D2FB,OK-TSA,B738
406813,G-SENT,GLEX
3C5EF7,D-AGWW,A319
AADE1C,N8KR,P210
800721,VT-JWU,A333
A4BECD,N4047C,BE20
4062E2,G-CGJN,RV7
40476B,G-CBPE,TOBA
A0FA8B,N162QS,GLEX
A192A3,N200GK,P28R
42427E,VP-BSQ,GLF4
47BE84,LN-RGD,B738
A42E1F,N369E,H500
ABB6DC,N854GT,B748
A3D1F0,N345XB,CL60
A4D266,N41GJ,LJ35
A9A750,N721AN,B77W
4CAAC8,EI-EZV,A320
ABBA62,N855EU,BE20
43C4BC,ZA710,H47
AC7034,N900LP,F900
40695D,G-PAOL,C25B
3443D2,EC-LUO,A320
A3520A,N313AV,F2TH
4B19C5,HB-JTT,GLF5
A40EBA,N3600X,SR22
406869,G-UMBY,H500
406954,G-OZBZ,A321
89630B,A6-ENI,B77W
406909,G-EZWH,A320
4CAAC9,EI-EZW,A320
3C4B27,D-ABYG,B748
4CAAD2,EI-EPT,A319
A69CCD,N525PG,ASTR
400CB0,G-BODY,C310
ADC535,N987AR,MD11
40217D,G-PRFI,B06
4068FB,G-WWFC,F2TH
3C4B28,D-ABYH,B748
AE0260,61-0295,K35R
4BA912,TC-JHR,B738
ABB7C8,N854SD,GLF4
4242C2,VP-BLP,A320
A65DFD,N5092,GLF5
406905,G-POWI,A320
4AC946,SE-RJF,A320
A200DF,N228Y,CL30
4BA913,TC-JHS,B738
4067F3,G-TAWP,B738
40630A,G-MOGS,CRUZ
40436F,G-JJEN,P28A
ABA892,N850NP,TBM8
43E99D,M-GLFZ,LJ60
4067F4,G-TAWR,B738
4B1887,HB-JHN,A333
4BAB2A,TC-JYJ,B739
89616F,A6-EFI,B77L
404D63,G-RTMY,C42
40178A,G-AWFJ,P28R
3C542A,D-AEAJ,A306
3C0B6D,D-ATIM,GLF5
A597EE,N46GX,GLEX
AE04FC,58-0011,K35R
3CD34E,D-CHIC,E55P
400D08,G-COVB,P28A
4059C2,G-CFEE,EV97
4068B5,G-ZBAB,A320
A155DF,N1852B,GLF5
404866,G-SEXX,P28A
