icao24,r,t
400A52,G-EZKD,B737
4CA76F,EI-EDP,A320
4006BF,G-CPET,B752
400BC0,G-OLDT,LJ45
405E66,G-ECOI,DH8D
4CA64C,EI-DYJ,B738
738074,4X-ECD,B772
4CA707,EI-EBK,B738
3C119B,D-AVRI,RJ85
4008A5,G-JMCG,B752
40061D,G-TOYF,B733
4005BF,G-VIIG,B772
342558,EC-KBU,A320
3C4D6B,D-ACKK,CRJ9
4B1837,HB-JEL,E135
405EF4,G-ECOK,DH8D
400A79,G-JEDT,DH8D
4006D6,G-OGBD,B733
4400DB,OE-LVC,F100
4CA7A7,EI-EFP,B738
706017,9K-AOA,B772
4951CE,CS-TNN,A320
400C75,G-MRJK,A320
3926A6,F-GJVG,A320
402D62,G-BPIU,P28A
A11FA1,N17126,B752
405C0D,G-ECOV,DH8D
400955,G-OOPU,A320
400942,G-EUOF,A319
40600E,G-EZTD,A320
A7CB78,N601FE,MD11
4009EE,G-TOYB,B733
400981,G-EUUF,A320
4CA292,EI-DEL,A320
395725,F-GVZF,AT72
400941,G-EUOI,A319
A028C9,N1092H,BE9L
400D8F,G-EZAE,A319
4CA13D,EI-CVA,A320
4CA61F,EI-DWS,B738
400931,G-JEDL,DH8D
491109,CS-DHI,C550
400575,G-VHOT,B744
4CA243,EI-DCM,B738
4005A6,G-CIVG,B744
341489,EC-HYD,A320
400876,G-JMCE,B752
400C70,G-JECH,DH8D
4005C0,G-VIIH,B772
48437C,PH-OFA,F100
4CA4F0,EI-DPL,B738
4008B1,G-EUPP,A319
40040D,G-BNLN,B744
4009F0,G-THOE,B733
400718,G-OZBL,A321
400AFF,G-EUXG,A321
4007DC,G-RJXC,E145
40075E,G-TOYG,B733
4CA15D,EI-CVB,A320
43C0A8,XV107,VC10
4840E5,PH-KZH,F70
4CA1F1,EI-DAT,B738
40050A,G-OBMP,B733
400A90,G-VNAP,A346
400A0B,G-KKAZ,A320
4007EE,G-YMMC,B772
4055BA,G-TOYI,B733
3C6641,D-AIRA,A321
4CA1B7,EI-DAF,B738
400F9A,G-DBCK,A319
43C38A,ZH536,BN2P
4CA56A,EI-DWE,B738
400980,G-EUUE,A320
3414C9,EC-HQJ,A320
400419,G-BUSJ,A320
A06860,N125XP,H25B
400AF9,G-EZMH,A319
A9553B,N700GY,TBM7
C051E4,C-GFAH,A333
400867,G-DHJH,A321
4007DF,G-FCLJ,B752
A6984C,N524FE,MD11
400422,G-BNWH,B763
4B1A58,HB-JZK,A319
A57AC7,N452NS,GLF4
3949EA,F-GSPK,B772
4CA61E,EI-DWR,B738
AAB001,N788UA,B772
4010DB,G-EUXK,A321
C80E65,ZK-NBU,B744
4CC3C9,TF-AMI,B744
3C7D82,D-AOLB,SB20
400E24,G-FBEA,E190
400B6D,G-VGAS,A346
400D98,G-SIRA,E135
400F43,G-FBEB,E190
400978,G-FPLD,BE20
4690C1,SX-DFA,A343
4CA25A,EI-DHE,B738
400A34,G-CELB,B733
4CA30C,EI-DNM,B734
4009C7,G-EUUJ,A320
484078,PH-MCT,MD11
451C72,LZ-YUN,CL60
400CCF,G-EZIO,A319
3C4B17,D-ABXW,B733
AAEE93,N803SA,HA4T
405EF3,G-ECOJ,DH8D
400A33,G-CELA,B733
867578,JA707J,B772
4CA258,EI-DHC,B738
40054E,G-BNWW,B763
400403,G-BNLD,B744
3C6625,D-AIQE,A320
4009DF,G-OOBE,B752
4CA27A,EI-DHN,B738
4912A7,CS-DUG,H25B
A44069,N373RB,
401374,G-OZBR,A321
4009DD,G-OOBC,B752
40560B,G-MEDN,A321
4CA783,EI-DTB,A320
400BE6,G-RJXP,E135
400F2B,G-CDZT,BE20
AA6CCB,N771AN,B772
495147,CS-TJG,A321
AA9D6E,N783UA,B772
4CA244,EI-DCN,B738
405F10,G-EZFH,A319
400938,G-EUOC,A319
778563,YK-AKC,A320
484007,PH-BFH,B744
405F57,G-RUBE,E135
4BAA49,TC-JRI,A321
400847,G-BYTH,A320
400D90,G-EZAF,A319
405B69,G-EZDP,A319
AA944A,N781AN,B772
4059FA,G-FBEK,E190
A7EF40,N610FE,MD11
4CA24E,EI-DCX,B738
45AD05,OY-KHE,MD82
401240,G-EUUT,A320
4CA2D4,EI-DLH,B738
800499,VT-VJO,A332
4006C5,G-OOPH,A321
06A01E,A7-ACC,A332
3423C5,EC-JSB,A320
405B66,G-EZDM,A319
400896,G-RJXF,E145
4B007C,HB-AEU,D328
4A8142,SE-DZK,B738
400BB7,G-JECG,DH8D
4B1617,HB-IJN,A320
4CA760,EI-EFE,B738
7404EE,JY-AGN,A310
342059,EC-ILP,A321
400AF8,G-EZDC,A319
405B75,G-CFGB,C680
3C664E,D-AIRN,A321
4007BB,G-TBAE,B462
400935,G-EUPZ,A319
020095,CN-ROU,B738
4CA1D0,EI-DAS,B738
AB649A,N833MH,B764
896113,A6-ECL,B77W
A99DEB,N719EL,BE40
4009D9,G-EUUL,A320
3C4A82,D-ABTB,B744
A6813F,N518XL,XL2
3C6585,D-AILE,A319
400610,G-VIIJ,B772
A59EC1,N461QS,GLF4
400675,G-VSEA,A343
400512,G-DOCS,B734
40040A,G-BNLK,B744
4CA1FE,EI-DCG,B738
4004CD,G-DOCE,B734
449156,OO-DJV,RJ85
405A46,G-EUUX,A320
478321,LN-RPZ,B736
0292A3,TS-IMD,A320
4CA6FD,EI-DYZ,B738
4008E6,G-MIDS,A320
4B19E8,HB-JVC,F100
405A49,G-EUYA,A320
491314,CS-DXT,C56X
4004C6,G-BNLX,B744
4CA1B8,EI-DAG,B738
400A5A,G-ZXZX,LJ45
4CA27F,EI-DEK,A320
4CA1F3,EI-DAW,B738
4004DF,G-BNWO,B763
400FDC,G-EZBK,A319
400C4F,G-EZIM,A319
400A54,G-EZKF,B737
4CA702,EI-EBE,B738
30006A,I-BIXS,A321
4CA6C4,EI-DVI,A320
400831,G-MIDL,A321
400926,G-VFOX,A346
732427,EP-IAG,B742
4CA4ED,EI-DPI,B738
400A00,G-EZJU,B737
40097F,G-EUUD,A320
45ACC1,OY-KFA,CRJ9
4009FB,G-EZJT,B737
4CA4E9,EI-DPE,B738
343347,EC-KYO,E190
400BD8,G-EZMS,A319
3C48A6,D-ABEF,B733
489544,SP-LKD,B735
44CD76,OO-SKV,C560
484B01,PH-KZT,F70
4910D0,CS-DFP,C56X
400A5B,G-DBCA,A319
400FDA,G-EZBI,A319
4007F6,G-YMMK,B772
